subject,RSN,RSN_name,IC,corr,rank,selected
HCD1796577,1,Visual,64,0.365,top1,True
HCD1796577,1,Visual,31,0.145,top2,False
HCD1796577,2,Visual,41,0.352,top1,True
HCD1796577,2,Visual,31,0.121,top2,False
HCD1796577,3,Visual,43,0.265,top1,True
HCD1796577,3,Visual,49,0.111,top2,False
HCD1796577,4,Default Mode Network,89,0.144,top1,True
HCD1796577,4,Default Mode Network,64,0.101,top2,False
HCD1796577,6,Sensorimotor,50,0.157,top1,True
HCD1796577,6,Sensorimotor,49,0.136,top2,False
HCD1796577,7,Auditory,44,0.175,top1,True
HCD1796577,7,Auditory,40,0.095,top2,False
HCD1796577,8,Executive Control,45,0.125,top1,True
HCD1796577,8,Executive Control,40,0.099,top2,False
HCD1796577,9,Frontoparietal,37,0.203,top1,True
HCD1796577,9,Frontoparietal,39,0.131,top2,False
HCD1796577,10,Frontoparietal,57,0.188,top1,True
HCD1796577,10,Frontoparietal,37,0.12,top2,False
HCD2155140,1,Visual,24,0.175,top1,True
HCD2155140,1,Visual,42,0.075,top2,False
HCD2155140,2,Visual,41,0.15,top1,True
HCD2155140,2,Visual,24,0.115,top2,False
HCD2155140,3,Visual,32,0.129,top1,True
HCD2155140,3,Visual,24,0.112,top2,False
HCD2155140,4,Default Mode Network,34,0.203,top1,True
HCD2155140,4,Default Mode Network,27,0.11,top2,False
HCD2155140,6,Sensorimotor,38,0.132,top1,True
HCD2155140,6,Sensorimotor,65,0.083,top2,False
HCD2155140,7,Auditory,39,0.132,top1,True
HCD2155140,7,Auditory,38,0.109,top2,False
HCD2155140,8,Executive Control,42,0.126,top1,True
HCD2155140,8,Executive Control,30,0.112,top2,False
HCD2155140,9,Frontoparietal,16,0.189,top1,True
HCD2155140,9,Frontoparietal,30,0.168,top2,False
HCD2155140,10,Frontoparietal,10,0.196,top1,True
HCD2155140,10,Frontoparietal,31,0.141,top2,False
HCD0919562,1,Visual,46,0.221,top1,True
HCD0919562,1,Visual,18,0.217,top2,False
HCD0919562,2,Visual,53,0.145,top1,True
HCD0919562,2,Visual,18,0.118,top2,False
HCD0919562,3,Visual,29,0.205,top1,True
HCD0919562,3,Visual,18,0.112,top2,False
HCD0919562,4,Default Mode Network,26,0.282,top1,True
